Sl.No.,school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,G1,G2,G3
97,GP,F,16,U,GT3,T,4,3,teacher,health,mother,1,3,0,yes,yes,yes,yes,yes,yes,no,3,4,4,2,4,4,2,10,9,9
98,GP,F,16,U,LE3,T,4,3,teacher,services,mother,3,2,0,no,yes,no,yes,yes,yes,no,5,4,3,1,2,1,2,16,15,15
99,GP,F,16,U,GT3,T,3,1,services,other,mother,1,4,0,yes,yes,yes,no,yes,yes,no,4,3,3,1,2,5,4,7,7,6
100,GP,M,16,U,GT3,T,3,1,other,other,father,2,4,0,no,yes,yes,no,yes,yes,no,4,3,2,1,1,5,0,13,15,15
101,GP,M,16,U,GT3,T,3,1,other,other,mother,1,1,0,no,no,no,yes,yes,no,no,5,3,2,2,2,5,2,12,12,14
102,GP,F,16,U,GT3,T,1,1,services,services,father,4,1,0,yes,yes,no,yes,yes,yes,yes,5,5,5,5,5,5,6,10,8,11
103,GP,F,16,U,GT3,T,3,3,other,services,mother,1,2,0,yes,yes,yes,yes,yes,yes,no,4,3,3,2,4,5,54,11,12,11
104,GP,F,16,U,GT3,T,2,2,other,other,mother,1,4,0,no,no,yes,no,yes,yes,yes,5,2,3,1,3,3,0,11,11,11
105,GP,F,16,U,GT3,T,3,4,at_home,other,mother,1,2,0,no,yes,no,no,yes,yes,no,2,4,3,1,2,3,12,5,5,5
106,GP,F,16,U,GT3,T,3,3,other,other,father,1,2,0,no,yes,yes,no,yes,no,no,4,3,2,1,2,5,4,6,10,10
107,GP,F,16,U,GT3,T,3,3,other,other,mother,1,3,0,no,yes,yes,no,yes,yes,yes,4,3,3,1,3,4,0,7,7,8
108,GP,F,16,U,GT3,T,2,1,other,other,mother,1,2,0,no,yes,yes,no,yes,no,yes,4,3,5,1,1,5,2,8,9,10
109,GP,M,16,U,LE3,T,2,2,other,other,mother,2,2,0,no,yes,no,yes,yes,yes,no,5,4,4,2,4,5,0,13,13,12
110,GP,F,16,U,GT3,T,4,2,services,other,mother,1,2,0,no,yes,no,no,yes,yes,no,4,2,3,1,1,5,2,15,16,16
111,GP,M,16,U,LE3,T,4,2,teacher,other,mother,1,2,0,no,no,no,yes,yes,yes,no,4,5,1,1,3,5,2,15,15,16
112,GP,M,16,U,LE3,T,4,3,health,other,father,1,1,0,no,no,yes,yes,yes,yes,no,3,1,3,1,3,5,4,8,10,10
113,GP,M,16,U,GT3,T,3,3,services,other,father,1,3,0,no,yes,no,yes,yes,yes,no,5,3,3,1,1,5,2,16,18,18
114,GP,F,16,U,GT3,T,4,4,other,other,mother,1,1,0,no,no,no,yes,yes,yes,no,5,3,4,1,2,1,6,11,14,14
115,GP,M,16,R,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,no,yes,yes,yes,yes,no,3,5,5,2,5,4,8,18,18,18
116,GP,F,16,U,GT3,T,4,2,teacher,services,mother,2,2,0,no,yes,yes,yes,yes,yes,no,5,3,3,1,1,1,0,11,10,10
117,GP,F,16,U,GT3,T,4,3,other,at_home,mother,1,3,0,yes,yes,yes,no,yes,yes,no,5,3,5,1,1,3,0,7,9,8
118,GP,F,16,U,GT3,T,2,2,services,services,mother,1,1,2,no,yes,yes,no,yes,yes,no,1,2,2,1,3,5,14,6,9,8
119,GP,M,16,U,GT3,T,4,4,services,services,mother,1,1,0,yes,yes,yes,yes,yes,yes,no,4,5,5,5,5,4,14,7,7,5
120,GP,M,16,U,GT3,T,4,4,services,teacher,father,1,3,0,no,yes,no,yes,yes,yes,yes,4,4,3,1,1,4,0,16,17,17
121,GP,M,16,R,GT3,T,4,3,services,other,mother,2,1,0,yes,yes,no,yes,yes,yes,no,3,3,3,1,1,4,2,11,15,15
122,GP,F,16,U,LE3,T,3,1,other,other,father,1,2,0,yes,yes,no,no,yes,no,no,3,3,3,2,3,2,4,7,6,6
123,GP,F,16,U,LE3,T,4,4,health,health,mother,1,3,0,no,yes,yes,yes,yes,yes,yes,5,4,5,1,1,4,4,14,15,16
124,GP,F,16,U,GT3,T,4,4,health,other,mother,1,1,0,no,yes,no,no,yes,yes,no,4,4,4,1,2,2,4,14,14,14
125,GP,F,16,R,GT3,T,3,3,services,other,father,1,3,1,yes,yes,no,yes,yes,yes,no,4,1,2,1,1,2,0,7,10,10
126,GP,F,16,U,GT3,T,2,2,at_home,other,mother,1,2,1,yes,no,no,yes,yes,yes,no,3,1,2,1,1,5,6,10,13,13
127,GP,M,16,U,GT3,T,4,4,teacher,teacher,father,1,2,0,no,yes,no,yes,yes,yes,no,5,4,4,1,2,5,2,15,15,16
128,GP,M,16,U,GT3,T,3,3,other,services,father,2,1,0,no,no,no,yes,yes,yes,no,5,4,2,1,1,5,0,13,14,13
129,GP,F,16,U,LE3,T,2,4,other,health,father,2,2,0,no,yes,yes,yes,yes,yes,yes,4,2,2,1,2,5,2,13,13,13
130,GP,M,16,U,GT3,T,4,4,health,other,mother,1,1,0,no,yes,no,yes,yes,yes,no,3,4,4,1,4,5,18,14,11,13
131,GP,F,16,U,GT3,T,2,2,other,other,mother,1,2,0,no,no,yes,no,yes,yes,yes,5,4,4,1,1,5,0,8,7,8
132,GP,M,16,U,LE3,T,2,2,other,other,mother,1,2,0,no,no,no,no,yes,yes,no,4,4,4,1,1,3,0,12,12,11
133,GP,M,16,U,GT3,T,4,3,health,services,mother,1,4,0,no,no,no,yes,yes,yes,no,4,2,2,1,1,2,4,19,19,20
134,GP,F,16,U,LE3,T,2,2,at_home,other,mother,1,2,0,no,yes,no,no,yes,no,no,4,3,4,1,2,2,4,8,7,6
135,GP,M,16,U,LE3,T,2,2,services,services,father,2,1,2,no,yes,no,yes,yes,yes,no,2,3,3,2,2,2,8,9,9,9
136,GP,M,16,U,GT3,T,3,2,services,services,mother,2,1,1,no,yes,no,yes,no,no,no,4,5,2,1,1,2,16,12,11,12
137,GP,M,16,U,GT3,T,2,1,other,other,mother,3,1,0,no,no,no,no,yes,yes,no,4,3,3,1,1,4,6,18,18,18
138,GP,F,16,U,GT3,T,2,1,other,other,mother,1,1,0,no,no,no,no,yes,yes,yes,4,5,2,1,1,5,20,13,12,12
139,GP,F,16,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,1,3,2,1,1,1,10,11,12,13
140,GP,M,16,U,GT3,T,0,2,other,other,mother,1,1,0,no,no,yes,no,yes,yes,no,4,3,2,2,4,5,0,13,15,15
141,GP,M,16,U,LE3,T,1,1,other,other,mother,2,2,0,no,yes,yes,no,yes,yes,no,3,4,2,1,1,5,18,9,7,6
142,GP,F,16,R,GT3,T,2,2,services,services,mother,2,4,0,no,yes,yes,yes,yes,yes,no,5,3,5,1,1,5,6,10,10,11
143,GP,M,16,U,GT3,T,4,4,health,other,father,1,2,0,no,yes,yes,yes,yes,yes,no,4,2,4,2,4,1,2,14,13,13
144,GP,F,16,U,GT3,T,4,4,teacher,services,mother,1,3,0,no,yes,no,yes,yes,yes,no,5,3,2,1,1,5,0,13,13,14
145,GP,F,16,U,GT3,T,2,3,services,teacher,mother,1,2,0,yes,no,no,no,yes,yes,no,2,3,1,1,1,3,2,16,16,17
146,GP,F,16,U,GT3,A,2,2,other,other,mother,1,2,0,yes,yes,yes,no,yes,yes,no,3,3,4,1,1,4,0,12,13,14
147,GP,F,16,U,GT3,T,1,1,at_home,other,mother,2,1,0,no,yes,yes,no,yes,no,no,4,3,2,1,4,5,6,9,9,10
148,GP,M,16,U,GT3,T,4,4,services,services,mother,1,1,0,no,no,no,yes,yes,yes,no,5,3,2,1,2,5,0,13,12,12
149,GP,F,16,U,GT3,A,3,1,services,other,mother,1,2,3,no,yes,yes,no,yes,yes,no,2,3,3,2,2,4,5,7,7,7
150,GP,M,16,U,LE3,T,1,1,services,other,mother,1,2,1,no,no,no,no,yes,no,yes,4,4,4,1,3,5,0,14,12,12
151,GP,M,16,U,GT3,T,4,4,teacher,teacher,mother,1,1,0,no,yes,no,no,no,yes,yes,3,3,2,2,1,5,0,7,6,0
152,GP,M,16,U,GT3,T,1,0,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,yes,4,3,2,1,1,3,2,13,15,16
153,GP,M,16,U,LE3,T,2,1,at_home,other,mother,1,1,1,no,no,no,yes,yes,no,yes,4,4,4,3,5,5,6,12,13,14
154,GP,M,16,R,GT3,T,2,2,at_home,other,mother,3,1,0,no,no,no,no,yes,no,no,4,2,2,1,2,3,2,17,15,15
155,GP,F,16,U,GT3,A,3,3,other,other,other,2,1,2,no,yes,no,yes,yes,yes,yes,4,3,2,1,1,5,0,4,0,0
156,GP,F,16,U,GT3,A,3,4,services,other,father,1,1,0,no,no,no,no,yes,yes,no,3,2,1,1,4,5,16,12,11,11
157,GP,M,16,U,LE3,A,4,4,teacher,health,mother,1,2,0,no,yes,no,no,yes,no,no,4,1,3,3,5,5,18,8,6,7
158,GP,F,16,U,GT3,T,3,3,other,other,mother,3,2,0,yes,yes,no,yes,yes,no,no,5,3,2,1,1,4,4,8,10,10
159,GP,F,16,U,GT3,T,2,3,other,other,mother,1,2,0,yes,yes,yes,yes,yes,no,no,4,4,3,1,3,4,6,8,10,10
160,GP,M,16,U,LE3,T,4,3,teacher,other,mother,1,1,0,no,no,no,yes,yes,yes,no,5,4,5,1,1,3,0,6,0,0
161,GP,M,16,U,GT3,T,3,3,at_home,other,other,3,2,0,yes,yes,no,no,yes,yes,no,5,3,3,1,3,2,6,7,10,10
162,GP,F,16,U,LE3,T,1,1,at_home,at_home,mother,1,1,0,no,no,no,no,yes,yes,no,3,4,4,3,3,1,2,14,14,13
163,GP,M,16,U,GT3,T,3,2,at_home,other,mother,2,3,0,no,no,no,yes,yes,yes,yes,5,3,3,1,3,2,10,11,9,10
164,GP,M,16,U,GT3,T,2,2,other,other,father,1,2,0,no,no,no,no,no,yes,no,4,3,5,2,4,4,4,10,10,10
165,GP,M,16,R,GT3,T,4,2,teacher,services,mother,1,1,0,no,yes,no,yes,yes,yes,yes,4,3,3,3,4,3,10,10,8,9
166,GP,M,16,U,LE3,T,1,2,other,other,mother,2,1,1,no,no,no,yes,yes,no,no,4,4,4,2,4,5,0,7,0,0
167,GP,M,16,U,GT3,T,2,3,other,other,father,2,1,0,no,no,no,no,yes,yes,no,5,3,3,1,1,3,0,13,14,14
168,GP,M,16,R,GT3,T,3,3,services,services,mother,1,1,0,no,yes,no,yes,yes,yes,no,4,3,2,3,4,5,8,8,9,10
169,GP,F,16,U,GT3,T,2,3,services,services,mother,1,2,0,no,no,no,no,yes,yes,no,4,3,3,1,1,2,10,11,12,13
170,GP,M,16,U,LE3,T,2,1,other,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,5,0,15,15,15
171,GP,M,16,U,GT3,T,1,2,services,services,mother,1,1,0,no,yes,yes,yes,yes,yes,yes,3,3,3,1,2,3,2,11,12,11
172,GP,F,16,U,GT3,T,3,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,1,2,2,1,2,1,14,12,13,12
173,GP,M,16,U,GT3,T,3,3,services,other,mother,1,2,0,no,no,yes,yes,yes,yes,yes,4,2,3,1,2,3,2,12,13,12
174,GP,M,16,U,GT3,T,4,3,teacher,other,mother,1,2,0,no,yes,yes,yes,yes,yes,no,3,4,3,2,3,3,10,9,8,8
175,GP,F,16,U,GT3,T,4,2,health,services,father,1,2,0,no,no,yes,no,yes,yes,yes,4,2,3,1,1,3,0,14,15,16
176,GP,F,16,U,LE3,T,3,3,other,other,mother,2,2,0,no,yes,yes,yes,yes,yes,no,4,4,5,1,1,4,4,10,11,9
177,GP,F,16,U,GT3,T,1,3,at_home,services,mother,1,2,3,no,no,no,yes,yes,yes,yes,4,3,5,1,1,3,0,8,7,0
178,GP,M,16,R,LE3,T,3,3,teacher,other,father,3,1,0,no,yes,yes,yes,yes,yes,no,3,3,4,3,5,3,8,9,9,10
179,GP,M,16,U,GT3,T,3,4,other,other,father,3,1,2,no,yes,no,yes,yes,yes,no,3,4,5,2,4,2,0,6,5,0
180,GP,F,16,U,GT3,T,4,4,health,health,mother,1,2,0,no,yes,yes,no,yes,yes,yes,4,4,2,1,1,3,0,14,14,14
181,GP,F,16,U,LE3,T,4,4,teacher,teacher,mother,1,2,0,no,yes,yes,no,yes,yes,no,4,5,2,1,2,3,0,9,9,10
182,GP,F,16,U,GT3,T,4,3,health,other,mother,1,2,0,no,yes,no,yes,yes,yes,no,4,3,5,1,5,2,2,16,16,16
183,GP,F,16,U,GT3,T,2,2,services,other,mother,2,2,0,no,no,yes,yes,yes,yes,no,3,4,4,1,4,5,2,13,13,11
184,GP,M,16,U,GT3,T,3,3,other,services,father,1,2,1,no,yes,yes,no,yes,yes,yes,4,5,5,4,4,5,4,10,12,12
185,GP,M,16,R,GT3,T,2,1,other,other,mother,2,1,0,no,no,no,yes,yes,no,no,3,3,2,1,3,3,0,8,9,8
186,GP,F,16,U,GT3,T,2,2,other,other,mother,1,2,0,no,yes,yes,no,yes,yes,no,5,1,5,1,1,4,0,6,7,0
187,GP,F,17,U,LE3,T,2,4,services,services,father,1,2,0,no,no,no,yes,yes,yes,yes,4,3,2,1,1,5,0,14,15,15
188,GP,F,17,U,LE3,T,3,3,other,other,mother,1,2,0,no,yes,no,yes,yes,yes,yes,5,3,3,2,3,1,56,9,9,8
189,GP,M,17,U,GT3,T,1,2,at_home,services,other,2,2,0,no,no,yes,yes,yes,yes,no,4,4,4,4,5,5,12,7,8,8
